nro,rnt,nombre_comercial,direccion,telefono,localidad,servicio_a_domicilio,telefono_a_domicilio,pagina_web
49,14632,Restaurante Wok,Avenida 19  No 118 - 75,213 88 54 -,Usaquén,NR,NA,www.wok.com.co
193,25770,Corral Gourmet Salitre,Centro Comercial Salitre Plaza Carrera 68 B No 24 - 39 Local 355,416 93 64 -,Fontibón,NR,NA,www.elcorralgourmet.com
124,21038,Brasa Roja World Trade Center,Avenida Calle 100 No 8A - 55 Local 140/41/42,NR,Chapinero,Sí,600 45 65,labrasaroja.com
26,14427,Restaurante Casa Vieja,Avenida Jiménez No 3 - 57,342 67 52 - 334 89 08,Candelaria,No,NA,www.casavieja.com.co
155,22609,Wata Kushi,Carrera 12 No 83 - 17,218 07 43 - 218 05 34,Chapinero,NR,NA,NR
160,22667,Diner Parque de la 93,Carrera 11 A No 93B - 11,616 01 93 -,Chapinero,Sí,616 01 93,NR
57,14649,La Fragata Internacional,Carrera  13 No 27 - 98 Piso 2,282 48 24 -,Santafé,NR,NA,www.lafragata.com
236,26541,Papa Jhons Centro Mayor,Centro Comercial Centro Mayor Calle 38 A Sur No 34 D - 51 Local 3024,NR,Antonio Nariño,NR,NA,www.papajohns.com.co
30,14477,Archies Usaquen,Carrera 6 A No 119 - 01,213 32 26 -,Usaquén,Sí,605 05 05,www.archies.co
169,24214,Restaurante Donde Chucho,Calle 84 Bis No 13 - 43,703 66 41 -,Chapinero,NR,NA,NR
163,23310,Hamburguesas del rodeo,Carrera 7 No 13 - 41 Interior 101,519 08 88 -,Candelaria,Sí,519 09 99,www.hamburguesasdelrodeo.com
242,27201,Restaurante Wok,Centro Comercial Gran Estación Avenida Calle 26 No 62 - 47 Local 1-48,572 27 75 -,Teusaquillo,NR,NA,www.wok.com.co
323,31034,Bagatelle S.A.S.,Carrera 11 A No 94 - 45,256 16 19 - 634 71 59,Chapinero,Sí,634 71 59,www.Bagatelle.com.co
88,15204,Restaurante Félix,Avenida Jiménez No 4 - 80,341 72 11 - 284 09 95,Candelaria,Sí,341 72 11,NR
39,14587,Restaurante Cali Mío No 11,Carrera 70 B No 25 - 47 Sur,260 52 82 -,Kennedy,Sí,600 43 00,www.calimio.com.co
58,14650,La Fragata Restaurante Giratorio,Calle 100 No 8 A - 55 Piso 12,218 44 56 -,Chapinero,NR,NA,www.lafragata.com
359,33531,Diana García Chef en Movimiento,Calle 116 No 7 -  15 Local 3 Edificio Cusezar,522 84 94 - 523 12 20,Usaquén,Sí,235 68 05,www.restaurantedianagarcia.com
68,14717,Café De Monserrate,Cerro de Monserrate Estación del Funicular,243 89 48 -,,No,NA,www.cafedemonserrate.com
305,30221,Don Jediondo Sopitas y Parrilla,Carrera 7 No 32 - 70 Local 419,350 09 30 -,Santafé,Sí,350 09 30,www.donjediondo.com
259,27319,Frisby No 50,Centro Comercial Salitre Plaza Carrera 68 B No 24 - 39 Local 384,01800939000 -,Fontibón,Sí,01 800 939 000,www.frisby.com.co
231,26444,Crepes & Waffles,Carrera 15 No 123  -  30 Local 1089,676 76 00 Extensión 705 -,Usaquén,No,NA,www.Crepesywaffles.com
326,31408,Andrés Exprés Caseta de Luxe,Centro Comercial Calima Avenida Calle 19 No 28 - 80 Local R 11,863 78 80 -,Los Mártires,NR,NA,www.andrescarnederes.com
198,26070,Archies Salitre,Calle 26 No 62 - 49 Local 318,571 81 38 - 572 23 43,Teusaquillo,Sí,605 05 05,www.archies.co
